rank,corporation,rating,delta
  1,Legion            ,1652,17
  2,Hinterm Mond      ,1637,6
  3,StarControl       ,1613,-4
  4,BlackStar Order   ,1515,-31
  5,Kharon Shipping   ,1505,-13
  6,Auscorp           ,1437,-24
~  ,System Shock      ,1420,-27
  7,Karanth           ,1375,-6
  8,DadCorp           ,1366,8
  9,Unimatrix Zero    ,1338,-22
 10,Spacecrevards     ,1335,-22
 11,OntarioDynasty    ,1304,10
 12,Yishun CC         ,1291,-20
 13,DUNE              ,1273,-19
~  ,RUS               ,1273,-19
 14,Anla'Shok         ,1273,-9
 15,Ark Summit        ,1241,11
 16,Team Elite        ,1234,38
 17,Ender             ,1232,-17
 18,ГОРИЗОНТ          ,1225,-17
~  ,Hades Corpo       ,1221,-16
 19,Final             ,1216,-6
 20,The Time Lords    ,1208,-4
 21,Nearland Ind      ,1208,26
~  ,InfamousExiles    ,1185,-15
 22,Imperium XIII     ,1177,7
 23,DTC               ,1150,113
 24,Dark Skai         ,1139,30
 25,Watchers          ,1134,-12
 26,HORNET            ,1134,-12
 27,EradicatorElite   ,1133,-12
 28,Black Solaris     ,1129,-12
 29,Embers Rising     ,1118,-35
 30,Tacitus           ,1117,-11
 31,Wintercomes       ,1116,26
~  ,NERF              ,1113,-11
 32,Spacefleet        ,1107,20
 33,Grunthal Gang     ,1107,28
 34,Sith Empire       ,1102,-10
~  ,Canadian Army     ,1100,-10
~  ,EMP               ,1080,-9
 35,Metal Nova        ,1079,26
 36,Greener Pastures  ,1072,-9
 37,Star Fall         ,1067,-1
 38,Terranova         ,1065,11
~  ,Kyлak             ,1065,-8
 39,Continuum         ,1063,32
 40,Blood Brigade     ,1053,26
 41,$TAR$             ,1047,-34
 42,Weyland Corp      ,1046,-10
 43,Void Consortium   ,1043,-7
 44,Orion             ,1040,-7
~  ,BRhue             ,1040,-7
 45,GermanIndustrie   ,1039,-7
~  ,NOVA              ,1038,-9
 46,Famous Assassins  ,1025,-6
 47,Lexx              ,1024,-62
 48,Red Dawn          ,1021,24
~  ,Wacky Wabbits     ,1021,-6
~  ,Stellaris         ,1021,181
 49,Space Donuts      ,1019,72
 50,H3LL FLAY3RS      ,1019,-6
~  ,Order of Hades    ,1018,-6
~  ,Rise Up           ,1017,-6
 51,Furyan Corps.     ,1011,-6
 52,Bastion           ,1010,-6
~  ,Salamanders       ,1008,-6
 53,UKR Spase         ,1004,-8
 54,Internationals    ,1003,-30
 55,Red Coat Mafia    ,1003,5
~  ,Stellar Exports   ,1002,-5
 56,Polaris           ,1001,-10
~  ,Urban Legends     ,1001,-5
~  ,nebulous          ,1000,-5
~  ,Ancient Library   ,999,-5
~  ,42-Omatic Corp    ,997,-5
~  ,Star-Jump CORPS   ,996,-5
~  ,For Ever HWI      ,996,-5
~  ,Stargate Corp     ,996,-5
~  ,Because Why Not   ,995,0
~  ,USSC              ,995,0
~  ,Toxic             ,995,0
~  ,TiesaFoundation   ,995,0
~  ,Grummibarenbande  ,994,0
~  ,Les Francaises    ,993,0
~  ,Russian Team      ,993,-1
~  ,DISS LIGA         ,993,0
~  ,kumzumir          ,992,0
 57,Elite             ,992,0
 58,Widow Makers      ,991,0
 59,Bounty Hunters    ,991,0
~  ,龙门星团              ,989,0
~  ,我有大氣球             ,989,0
~  ,Delta Strike      ,988,0
~  ,Prosperity        ,988,0
~  ,龙门训练营             ,988,0
 60,Black Sun         ,985,-19
~  ,E.T.A             ,985,0
~  ,Saltarrocas       ,983,0
~  ,POCCNR            ,983,0
~  ,TheSpacingGuild   ,982,0
~  ,Rogue Hero's      ,981,0
~  ,Omega Alpha       ,981,0
~  ,Titan Corp.       ,979,0
 61,Obsidian          ,979,34
~  ,Vendetta Squad    ,978,-12
 62,USSR              ,977,0
~  ,Tormenta          ,976,-22
~  ,UAGC              ,975,0
~  ,The Black Bulls   ,975,0
~  ,Avabel Online     ,974,0
~  ,Phoenix Rising    ,974,0
~  ,MAPCIOKN          ,974,0
~  ,Argentina 1.0     ,972,0
 63,ANBEPCAHTbl       ,972,0
~  ,battlesquadron    ,971,0
~  ,Sternenflotte     ,971,0
~  ,Space Penguins    ,970,0
~  ,M4-Legends        ,969,0
 64,Austria           ,969,0
~  ,Soylent Corp.     ,967,0
~  ,Imperial Armada   ,967,0
 65,JTPS              ,966,0
~  ,AMБPEЛЛA          ,966,0
~  ,Sternenwanderer   ,965,0
~  ,The First Order   ,965,0
~  ,Society of Sin    ,961,0
~  ,The BR Project    ,961,0
~  ,Paиoн No 9        ,958,0
~  ,ZEN               ,958,0
 66,the heavy         ,956,15
~  ,Españoles         ,955,0
 67,Farland Ind.      ,954,0
 68,The Asylum        ,954,0
~  ,Avengers          ,954,0
~  ,Topговая Федерация,954,-2
~  ,H香港K              ,950,0
~  ,Old Men Gaming    ,950,0
 69,Rocket-by Baby    ,948,0
~  ,Балтийский флот   ,948,0
~  ,Trade Systems     ,948,0
~  ,Titan Basecamp    ,948,0
~  ,Dansk             ,948,0
~  ,Collective        ,948,0
~  ,Elite Penguins    ,948,0
~  ,Cool Casual       ,947,0
 70,Corporation       ,946,0
~  ,Avantgarde        ,945,0
 71,TPYNRNR           ,944,-17
~  ,龙冂训练营             ,943,0
~  ,Ahamkara          ,943,-8
~  ,Domus             ,943,0
~  ,Quilliance        ,943,0
~  ,Tёmный Bиxpь      ,943,0
~  ,AlSounT           ,942,0
~  ,Guardians         ,942,0
~  ,BKC               ,942,0
 72,Trade Station     ,941,-15
 73,pirates spatial   ,941,0
 74,Gulinga           ,940,0
~  ,Enigma            ,939,-3
~  ,Midland Ind.      ,939,0
~  ,Space Oddity      ,937,0
~  ,Octoberpierynm    ,937,0
~  ,Aus Alliance      ,935,0
 75,星呢月球              ,934,0
~  ,CnGR              ,933,0
~  ,The Goonies       ,933,0
~  ,Space bastards    ,933,0
~  ,Star Command      ,932,0
~  ,Gamekings         ,932,0
~  ,Galaxia           ,932,0
~  ,Lost Legion       ,931,0
~  ,The Star League   ,930,0
~  ,Гaлaктикa Элa     ,930,-3
~  ,Aggronauten       ,930,0
~  ,OntarioDominion   ,929,0
 76,Tartaros Armada   ,929,0
~  ,Int. Trading Co   ,928,0
~  ,Stalkers' Zone    ,927,16
~  ,Best              ,927,0
~  ,Delta Nation      ,925,0
~  ,Corvus Ind.       ,925,0
~  ,HИФИГACEБ         ,925,0
~  ,Interstellar      ,925,0
~  ,Farmville         ,925,0
~  ,Star Wars         ,924,0
~  ,Core Infliction   ,923,0
~  ,AlfaOmega         ,923,0
~  ,Galactic Force    ,923,0
~  ,帝国军事学院            ,923,0
~  ,Fomorians Eire    ,922,0
~  ,EZCO              ,922,0
~  ,VALLKIRIA         ,920,0
~  ,Ritter der Nuss   ,920,0
~  ,DarkMoon          ,919,0
 77,Star Dust         ,919,9
~  ,Aobpothbie Nioan  ,919,25
~  ,Steak n' Shake    ,918,0
 78,Dumpster Fire     ,918,76
 79,海賊ギルド             ,918,0
~  ,Ironbear Legion   ,918,0
~  ,STAR TERROR CZ    ,917,0
~  ,Corp. Estelar     ,917,0
 80,Rising star       ,916,0
~  ,T E H b           ,916,0
~  ,DegobaSystem      ,916,0
~  ,Gwiezdna Horda    ,916,0
~  ,Kobol             ,915,0
~  ,Hamburg AG 2      ,915,0
 81,LOST PIRATES      ,915,-16
~  ,KLM               ,914,0
~  ,Sky Walkers       ,914,0
~  ,Justice League    ,914,0
~  ,EGO               ,914,0
~  ,Defiant wolfs     ,913,0
~  ,LossFarm No. 648  ,913,-32
~  ,Nmnepnr           ,913,0
 82,ENFORCERS         ,913,0
~  ,Pandora's Star    ,913,0
~  ,Deutsch Staat D   ,913,0
~  ,Nooooobs          ,912,0
~  ,Anke none         ,912,0
~  ,ShalaskanEmpire   ,911,0
~  ,Italian Stars     ,911,0
~  ,NoweUkladyll      ,911,0
 83,G.M.U.            ,911,0
~  ,GalaxHitchikers   ,910,0
~  ,XenoCorp          ,909,0
~  ,Battle Academy    ,908,0
 84,VoidCorp          ,907,-13
~  ,SYNDICATE         ,907,0
~  ,Diplomats Union   ,907,0
 85,Kpanhnn Kocmoc    ,906,-16
~  ,The Fracture      ,905,0
~  ,Anarchy           ,904,0
~  ,exirium           ,903,0
~  ,The trade pub     ,903,0
~  ,Turk Yildizlari   ,903,0
~  ,White Solaris     ,903,0
~  ,Abanoh            ,902,0
~  ,BattleCo          ,901,0
~  ,Sol               ,900,9
~  ,Flight and War    ,900,0
~  ,Green Alliance    ,900,0
~  ,Legion Estelar    ,900,0
~  ,KOPNOPAUNR 3NA    ,900,0
~  ,Yellow Dwarf      ,900,0
~  ,星䂓地㺷              ,900,0
 86,WFOS              ,900,0
~  ,Españoles 2       ,900,0
 87,Bloodtide         ,900,25
